scientific_name,common_name,species_annotation_codes,eBird_codes,order,notes,habitat,foraging_habit,family,avibase_ID,total_individuals,female,male,unknown,complete_measures,beakLength_culmen,beakLength_nares,beak_width,beak_depth,tarsus_length,wing_length,kipps_distance,secondary,hand_wing_index,tail_length,mass,migration,trophic_level,trophic_niche,primary_lifestyle
Tephrodornis sylvicola,Malabar Woodshrike,MW,MAWO,Passeriformes,,RF,CAN,Vangidae,AVIBASE-AC47E292,4,2,2,0,4,25.6,16.2,6.2,7.3,19.1,112.9,19.5,93.4,17.3,83,37.8,1,Carnivore,Invertivore,Insessorial
Ducula badia,Mountain Imperial-Pigeon,MIP,MIPI,Columbiformes,,RF,CAN,Columbidae,AVIBASE-FD2D7608,12,6,5,1,11,26.7,14.6,7,6.2,28.5,231.1,65.5,165.7,28.3,167.2,486,1,Herbivore,Frugivore,Insessorial
Dicaeum concolor,Nilgiri Flowerpecker,NFP,NIFP,Passeriformes,eBird_code NIFL,RF,CAN,Dicaeidae,AVIBASE-62585CD8,9,4,5,0,8,10.9,7.1,2.7,3,11.8,47.2,9.5,37.6,20.3,26.2,6.2,1,Herbivore,Omnivore,Insessorial
Eumyias albicaudatus,Nilgiri Flycatcher,NF,NIFL,Passeriformes,,RF,CAN,Muscicapidae,AVIBASE-52FED114,5,2,3,0,4,12.9,7.3,4.2,3.6,18,75.4,10.9,62.8,14.8,66.8,16.4,1,Carnivore,Invertivore,Insessorial
Columba elphinstonii,Nilgiri Wood-Pigeon,NWP,NWPI,Columbiformes,,RF,MID,Columbidae,AVIBASE-5813ADBE,5,3,2,0,4,25.6,12.2,4.9,5.8,26.9,207.6,70.6,138.2,33.8,151.5,379,1,Herbivore,Frugivore,Insessorial
Pericrocotus flammeus,Orange Minivet,OM,ORMI,Passeriformes,,RF,CAN,Campephagidae,AVIBASE-1B2C7B12,6,2,4,0,6,17.2,10.3,5.6,5.4,15.9,87.8,23.9,64,27.2,92,23.3,1,Carnivore,Invertivore,Insessorial
Geokichla citrina,Orange-headed Thrush,OHT,OHTH,Passeriformes,,RF,GRD,Turdidae,AVIBASE-F82540A0,5,1,2,2,4,21.7,13.2,4.7,5.9,31.1,118.2,33.3,79.2,29.6,73.4,53.3,3,Omnivore,Omnivore,Generalist
Pernis ptilorhynchus,Oriental Honey-buzzard,OHB,OHBU,Accipitriformes,,RF,CAN,Accipitridae,AVIBASE-1192205B,5,2,3,0,4,55.9,21.4,13.1,15.4,49,413.6,130.7,278.6,32,263.8,1141.1,1,Carnivore,Invertivore,Insessorial
Copsychus saularis,Oriental Magpie-Robin,OMR,OMRO,Passeriformes,,OC,GRD,Muscicapidae,AVIBASE-D112C938,17,3,13,1,15,23.2,15,5.4,5.8,29.5,97.5,18.7,79.2,19.1,84,36,1,Carnivore,Invertivore,Terrestrial
Dicaeum erythrorhynchos,Pale-billed Flowerpecker,PBF,PBFL,Passeriformes,,OC,CAN,Dicaeidae,AVIBASE-BDB26F7B,5,2,3,0,4,11.4,7.4,2.5,2.9,12.1,48.4,10.2,38.3,21,23.2,6.3,1,Herbivore,Frugivore,Insessorial
Falco peregrinus,Peregrine Falcon,PF,PEFA,Falconiformes,,OC,AER,Falconidae,AVIBASE-47E58408,18,7,8,3,8,31.1,18.4,13.7,15.4,45.1,314.7,165,152.6,52.2,143,760,2,Carnivore,Vertivore,Aerial
Saxicola caprata,Pied Bushchat,PIBU,PIBU,Passeriformes,,OC,UND,Muscicapidae,AVIBASE-A64A1FA2,38,17,20,1,4,14.9,7.7,3.6,3.8,20.9,70.1,10.7,59.7,15.1,51.5,15.2,3,Carnivore,Invertivore,Insessorial
Clamator jacobinus,Pied Cuckoo,PC,PICU,Cuculiformes,,OC,MID,Cuculidae,AVIBASE-BF0A0954,6,3,3,0,4,24.7,15.6,6.8,7.9,28.7,145.2,50.6,92.9,35.2,160.8,79.4,3,Carnivore,Invertivore,Insessorial
Psittacula cyanocephala,Plum-headed Parakeet,PHP,PHPA,Psittaciformes,,OC,CAN,Psittaculidae,AVIBASE-109000B4,10,2,8,0,10,21.4,17.6,11.6,17.1,12.5,127.1,64.6,62.5,50.8,197.1,66,1,Herbivore,Frugivore,Insessorial
