site_id,common_name,density
UPMAP1B,Indian Paradise-Flycatcher,0
UPMAP3B,Indian Paradise-Flycatcher,0.031284869
UPMAP4B,Indian Paradise-Flycatcher,0
UPMAP5B,Indian Paradise-Flycatcher,0
UPMAP6B,Indian Paradise-Flycatcher,0
VAR210R,Indian Paradise-Flycatcher,0
VAR310R,Indian Paradise-Flycatcher,0.031284869
VAR310U,Indian Paradise-Flycatcher,0.031284869
VAR410R,Indian Paradise-Flycatcher,0
VAR410U,Indian Paradise-Flycatcher,0
HP36P1B,Malabar Whistling-Thrush,0.051955345
HP36P3B,Malabar Whistling-Thrush,0.025977672
HP36P4B,Malabar Whistling-Thrush,0.012988836
HP37P1B,Malabar Whistling-Thrush,0.025977672
HP37P2B,Malabar Whistling-Thrush,0.051955345
HP37P4B,Malabar Whistling-Thrush,0.064944181
HP4008R,Malabar Whistling-Thrush,0.025977672
HP4008U,Malabar Whistling-Thrush,0
INBS04R,Malabar Whistling-Thrush,0.038966509
INBS04U,Malabar Whistling-Thrush,0.051955345
INME03R,Malabar Whistling-Thrush,0.025977672
INME03U,Malabar Whistling-Thrush,0.051955345
INOA03R,Malabar Whistling-Thrush,0.064944181
IPTO04R,Malabar Whistling-Thrush,0.012988836
IPTO04U,Malabar Whistling-Thrush,0.012988836
IPTO06R,Malabar Whistling-Thrush,0
IPTO06U,Malabar Whistling-Thrush,0
OLCAP2B,Malabar Whistling-Thrush,0
OLCAP3B,Malabar Whistling-Thrush,0.038966509
OLV110R,Malabar Whistling-Thrush,0.025977672
OLV110U,Malabar Whistling-Thrush,0.012988836
OLV208R,Malabar Whistling-Thrush,0.064944181
OLV208U,Malabar Whistling-Thrush,0.051955345
PANMP1B,Malabar Whistling-Thrush,0.064944181
PANMP2B,Malabar Whistling-Thrush,0.064944181
PANMP3B,Malabar Whistling-Thrush,0.038966509
SEL107R,Malabar Whistling-Thrush,0.051955345
SEL107U,Malabar Whistling-Thrush,0.025977672
SEL207R,Malabar Whistling-Thrush,0.038966509
SEL207U,Malabar Whistling-Thrush,0.012988836
STIN02R,Malabar Whistling-Thrush,0.064944181
STIN02U,Malabar Whistling-Thrush,0.064944181
THEN10U,Malabar Whistling-Thrush,0.064944181
UPMAP1B,Malabar Whistling-Thrush,0.038966509
UPMAP3B,Malabar Whistling-Thrush,0.038966509
UPMAP4B,Malabar Whistling-Thrush,0.038966509
UPMAP5B,Malabar Whistling-Thrush,0.025977672
UPMAP6B,Malabar Whistling-Thrush,0.038966509
VAR210R,Malabar Whistling-Thrush,0.051955345
VAR310R,Malabar Whistling-Thrush,0.038966509
VAR310U,Malabar Whistling-Thrush,0.038966509
VAR410R,Malabar Whistling-Thrush,0.038966509
VAR410U,Malabar Whistling-Thrush,0.038966509
HP36P1B,Gray Junglefowl,0.025593955
HP36P3B,Gray Junglefowl,0.008531318
HP36P4B,Gray Junglefowl,0
HP37P1B,Gray Junglefowl,0.008531318
HP37P2B,Gray Junglefowl,0.042656592
HP37P4B,Gray Junglefowl,0
HP4008R,Gray Junglefowl,0.034125274
HP4008U,Gray Junglefowl,0.008531318
INBS04R,Gray Junglefowl,0
INBS04U,Gray Junglefowl,0.008531318
